hitparada,rok,mesic,week,pozice,album,interpret,interpret_hlavni,vydavatel
CZ - ALBUMS - TOP 100,2018,12,,19,Christmas,Michael Bublé,Michael Bublé,Warner Music
CZ - ALBUMS - TOP 100,2018,12,,20,Já nemám strach,Hana Zagorová,Hana Zagorová,Supraphon
CZ - ALBUMS - TOP 100,2018,12,,21,Nativitas - Vánoční písně staré Evropy,Dagmar Pecková,Dagmar Pecková,Supraphon
CZ - ALBUMS - TOP 100,2018,12,,22,Down The Road Wherever,Mark Knopfler,Mark Knopfler,Universal Music
CZ - ALBUMS - TOP 100,2018,12,,23,Muž s bílým psem,Radůza,Radůza,Supraphon
CZ - ALBUMS - TOP 100,2018,12,,24,Bad Time For Gentlemen,Monkey Business,Monkey Business,Warner Music
CZ - ALBUMS - TOP 100,2018,12,,25,25,Kryštof,Kryštof,I.Richmond.P./Universal Music
CZ - ALBUMS - TOP 100,2018,12,,26,Evolve,Imagine Dragons,Imagine Dragons,Universal Music
CZ - ALBUMS - TOP 100,2018,12,,27,Sexy exity,Xindl X,Xindl X,Universal Music
CZ - ALBUMS - TOP 100,2018,12,,28,Miss maringotka,Wohnout,Wohnout,Warner Music
CZ - ALBUMS - TOP 100,2018,12,,29,Hallelujah (Vánoční písně a koledy),Martin Chodúr,Martin Chodúr,Supraphon
CZ - ALBUMS - TOP 100,2018,12,,30,Šachoffnice,Traktor,Traktor,Warner Music
CZ - ALBUMS - TOP 100,2018,12,,31,Live in Buenos Aires,Coldplay,Coldplay,Warner Music
CZ - ALBUMS - TOP 100,2018,12,,32,Muzikál,Marián Vojtko,Marián Vojtko,Popron Music
CZ - ALBUMS - TOP 100,2018,12,,33,Si,Andrea Bocelli,Andrea Bocelli,Universal Music
CZ - ALBUMS - TOP 100,2018,12,,34,DUMMY BOY,6Ix9Ine,6Ix9Ine,Universal Music
CZ - ALBUMS - TOP 100,2018,12,,35,Já ti zabrnkám / Balady,Václav Neckář,Václav Neckář,Supraphon
CZ - ALBUMS - TOP 100,2018,12,,36,Konnichiwa,Mirai,Mirai,Universal Music
CZ - ALBUMS - TOP 100,2018,12,,37,Kamikaze,Eminem,Eminem,Universal Music
CZ - ALBUMS - TOP 100,2018,12,,38,Poruba,Jaromír Nohavica,Jaromír Nohavica,Petarda Production
CZ - ALBUMS - TOP 100,2018,12,,39,Happy Xmas,Eric Clapton,Eric Clapton,Universal Music
CZ - ALBUMS - TOP 100,2018,12,,40,Tulák po hvězdách,Progres 2,Progres 2,Bronz Records
CZ - ALBUMS - TOP 100,2018,12,,41,Země tvých dlaní,Kamelot,Kamelot,Ton Studio Rajchman
CZ - ALBUMS - TOP 100,2018,12,,42,Bílé vánoce,Karel Gott,Karel Gott,Supraphon
CZ - ALBUMS - TOP 100,2018,12,,43,Greatest Hits II (2011 Remaster),Queen,Queen,Universal Music
CZ - ALBUMS - TOP 100,2018,12,,44,Double Album,Miro Žbirka,Miro Žbirka,Universal Music
CZ - ALBUMS - TOP 100,2018,12,,45,Nadechnutí,Čechomor,Čechomor,Warner Music
CZ - ALBUMS - TOP 100,2018,12,,46,Best Of (1993-2018),Anna K.,Anna K.,Universal Music
CZ - ALBUMS - TOP 100,2018,12,,47,Součást,Pavel Callta,Pavel Callta,Warner Music
CZ - ALBUMS - TOP 100,2018,12,,48,Nie som tu náhodou,Majk Spirit,Majk Spirit,Spirit Music
CZ - ALBUMS - TOP 100,2018,12,,49,Trench,Twenty One Pilots,Twenty One Pilots,Warner Music
CZ - ALBUMS - TOP 100,2018,12,,50,Diamant,Lvcas Dope & Dj Wich,Lvcas Dope,Fck Them
CZ - ALBUMS - TOP 100,2018,12,,51,?,Xxxtentacion,Xxxtentacion,Universal Music
CZ - ALBUMS - TOP 100,2018,12,,52,love,Michael Bublé,Michael Bublé,Warner Music
CZ - ALBUMS - TOP 100,2018,12,,53,Zlaté vánoční album,Různí,Různí,Supraphon
CZ - ALBUMS - TOP 100,2018,12,,54,"Hity, které si zpíváte o Vánocích",Různí,Různí,Universal Music
CZ - ALBUMS - TOP 100,2018,12,,55,"Come Over When You're Sober, Pt. 2",Lil Peep,Lil Peep,Sony Music
CZ - ALBUMS - TOP 100,2018,12,,56,Tereza Mašková (Vítěz Superstar 2018),Tereza Mašková,Tereza Mašková,Warner Music
CZ - ALBUMS - TOP 100,2018,12,,57,beerbongs & bentleys,Post Malone,Post Malone,Universal Music
CZ - ALBUMS - TOP 100,2018,12,,58,7,David Guetta,David Guetta,Warner Music
CZ - ALBUMS - TOP 100,2018,12,,59,Barvy,Marta Jandová,Marta Jandová,Supraphon
CZ - ALBUMS - TOP 100,2018,12,,60,Zapomenutý příběh,Ondřej Ruml,Ondřej Ruml,Warner Music
CZ - ALBUMS - TOP 100,2018,12,,61,Alfa,Ektor,Ektor,Detektor/Universal Music
CZ - ALBUMS - TOP 100,2018,12,,62,Vita Ce N'e,Eros Ramazzotti,Eros Ramazzotti,Universal Music
CZ - ALBUMS - TOP 100,2018,12,,63,Love Songs,Chinaski,Chinaski,Universal Music
CZ - ALBUMS - TOP 100,2018,12,,64,Simulation Theory,Muse,Muse,Warner Music
CZ - ALBUMS - TOP 100,2018,12,,65,Studna v poušti,Radůza,Radůza,Radůza Records
CZ - ALBUMS - TOP 100,2018,12,,66,Není nám do pláče,Chinaski,Chinaski,Brainzone
CZ - ALBUMS - TOP 100,2018,12,,67,"Dovi, dopo",Kali,Kali,Kali Records
CZ - ALBUMS - TOP 100,2018,12,,68,Taneční liga 202,Různí,Různí,Universal Music
CZ - ALBUMS - TOP 100,2018,12,,69,Sweetener,Ariana Grande,Ariana Grande,Universal Music
CZ - ALBUMS - TOP 100,2018,12,,70,České vánoční koledy,Různí,Různí,Supraphon
CZ - ALBUMS - TOP 100,2018,12,,71,Světlo ve tmě,Jelen,Jelen,Singlton/Universal Music
CZ - ALBUMS - TOP 100,2018,12,,72,7,Nik Tendo,Nik Tendo,Milion+ Ent./Universal Music
CZ - ALBUMS - TOP 100,2018,12,,73,Egypt Station,Paul Mccartney,Paul Mccartney,Universal Music
CZ - ALBUMS - TOP 100,2018,12,,74,Forever,Queen,Queen,Universal Music
CZ - ALBUMS - TOP 100,2018,12,,75,TOP20.CZ 2018/2,Různí,Různí,Universal Music
CZ - ALBUMS - TOP 100,2018,12,,76,Vlčí srdce,Jelen,Jelen,Singlton/Universal Music
CZ - ALBUMS - TOP 100,2018,12,,77,Trilobit,Olympic,Olympic,Supraphon
CZ - ALBUMS - TOP 100,2018,12,,78,Zaz,Zaz,Zaz,Warner Music
CZ - ALBUMS - TOP 100,2018,12,,79,Best Of   +DVD,Lucie,Lucie,Universal Music
CZ - ALBUMS - TOP 100,2018,12,,80,ZG,Deethane,Deethane,Championship Music
CZ - ALBUMS - TOP 100,2018,12,,81,Red Pill Blues,Maroon 5,Maroon 5,Universal Music
CZ - ALBUMS - TOP 100,2018,12,,82,Best Fuck Off / Pořád nás to baví,Rybičky 48,Rybičky 48,Supraphon
CZ - ALBUMS - TOP 100,2018,12,,83,Holomráz,Slza,Slza,Universal Music
CZ - ALBUMS - TOP 100,2018,12,,84,Glastonbury 2000,David Bowie,David Bowie,Warner Music
CZ - ALBUMS - TOP 100,2018,12,,85,Lost On You,Lp,Lp,Universal Music
CZ - ALBUMS - TOP 100,2018,12,,86,Lady Soul,Marie Rottrová,Marie Rottrová,Supraphon
CZ - ALBUMS - TOP 100,2018,12,,87,Mapa lásky,Štefan Margita,Štefan Margita,Supraphon
CZ - ALBUMS - TOP 100,2018,12,,88,Moments,Marcus & Martinus,Marcus,Sony Music
CZ - ALBUMS - TOP 100,2018,12,,89,Vlastní svět,Marek Ztracený,Marek Ztracený,Supraphon
CZ - ALBUMS - TOP 100,2018,12,,90,Sbohem Roxano,Yzomandias,Yzomandias,Milion+ Ent
CZ - ALBUMS - TOP 100,2018,12,,91,Hearts,Lenny,Lenny,Universal Music
CZ - ALBUMS - TOP 100,2018,12,,92,Nevermind (20th Anniversary Edition),Nirvana,Nirvana,Universal Music
CZ - ALBUMS - TOP 100,2018,12,,93,Pátá bohyně,Vesna,Vesna,Nan
CZ - ALBUMS - TOP 100,2018,12,,94,Nej vánoční výběr všech dob,Různí,Různí,Universal Music
CZ - ALBUMS - TOP 100,2018,12,,95,Vlasy,Pokáč,Pokáč,Warner Music
CZ - ALBUMS - TOP 100,2018,12,,96,Anthem Of The Peaceful Army,Greta Van Fleet,Greta Van Fleet,Universal Music
CZ - ALBUMS - TOP 100,2018,12,,97,X,Ed Sheeran,Ed Sheeran,Warner Music
CZ - ALBUMS - TOP 100,2018,12,,98,20 let písniček,Svěrák/Uhlíř,Svěrák,Universal Music
CZ - ALBUMS - TOP 100,2018,12,,99,Dua Lipa,Dua Lipa,Dua Lipa,Warner Music
CZ - ALBUMS - TOP 100,2018,12,,100,Velký flám (Zlaté album),Dalibor Janda,Dalibor Janda,Supraphon
CZ - ALBUMS - TOP 100,2019,01,,1,Bohemian Rhapsody O.S.T.,Queen,Queen,Universal Music
CZ - ALBUMS - TOP 100,2019,01,,2,Krtek Money Life,Milion+,Milion+,Milion+ Ent./Universal Music
